region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
1,353.59341858313974,-36.094810998899646,353.5935085236343,-36.09472292064756,353.59349000951954,-36.09474483009187,2.933785834448333,1.8973666331915209,0.8818930152835658,0.876706123373301,169,1458.4037976983097,52.30255280398487
2,353.62476952361527,-36.07703671169039,353.62476792438554,-36.0770134558982,353.6247594464511,-36.077018970676406,1.4798554040663838,0.8246211724480506,0.4135536201072969,0.41233961775781014,43,500.0117865547391,9.208217699332465
3,353.6007718572683,-36.10681255005095,353.6007969101477,-36.10683091613842,353.6007828765717,-36.1068186128195,2.451467040600377,1.4560219496419509,0.6863293928667659,0.6836813925515312,118,1360.1555020650796,50.172652343310986
4,353.6061392870133,-36.08825784387871,353.6060864396309,-36.08820830837707,353.60609631582395,-36.08821939029599,3.2858897332920622,2.009975145109761,0.9855525608463573,0.9843255196220195,212,1224.2931089665417,56.258849871804976
5,353.6121860550039,-36.11120295739434,353.61209646201894,-36.111041094915635,353.6121233401698,-36.11110010011016,3.5966809386584817,2.912044003190136,1.0593274027882167,1.0348633275510941,254,754.6305673791103,53.101546139300915
6,353.59500373470036,-36.083866927715015,353.5949731730942,-36.08389229794643,353.5949700505273,-36.08387942089858,2.0310825007719226,1.216552459280463,0.5800887292599327,0.5781620843585838,81,352.38633765621586,25.682920068946085
7,353.6013215776068,-36.10825709239321,353.6013943186916,-36.108153171080524,353.60136767669115,-36.10818461979554,3.2625576767294038,2.720294114509961,1.0698199999470093,1.060986728552999,209,1893.4997781257086,48.656159936102334
8,353.6042780457521,-36.110090909384965,353.6040192478113,-36.11000718498153,353.6040924304664,-36.11003589108598,3.4742352948655255,2.778488844799028,1.1210669070372061,1.0958142719773025,237,1053.6753984598952,39.89655594795448
9,353.63191941196396,-36.08681414066531,353.63191597914647,-36.08685164091951,353.6319117666589,-36.086830448942564,2.0185060176161285,1.2165524647114625,0.5673223175970311,0.562035663728146,80,346.91613709470255,21.474607918102127
10,353.60331432398885,-36.11414631499447,353.6033714315647,-36.11414534940995,353.60337463507966,-36.114130445277304,2.951094455619561,1.8973665945384408,0.8268465521609027,0.8250512562584152,171,559.3746061922677,26.42572745256585
