region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
1,139.4939332329524,-22.35822884653161,139.49387612421936,-22.35827894584472,139.4939065689513,-22.358269840395106,1.7625846048215097,1.0770330034340228,0.5290487168862437,0.5182121826914263,61,2853.572653582699,41.775276229174246
3,139.49525697422058,-22.370395315579355,139.49514538146832,-22.370273308777534,139.4951711044141,-22.370315169757497,2.388328528576739,1.9999999776760096,0.7823289361483385,0.7628860209827213,112,3191.265828366014,157.89858459282019
4,139.47452966369065,-22.34223049108763,139.47457187086485,-22.342216976517467,139.47456744722365,-22.342212697832956,3.0695231927842155,1.6124515870141776,0.8293835462011909,0.8291096699231156,185,2491.3318646393195,104.2293395943789
5,139.47110611612874,-22.3701749851289,139.47115498306647,-22.370156682370812,139.47114997151917,-22.37017438586911,4.179574925009293,2.3323808005648656,1.202305448093205,1.2004991444702846,343,1766.6675263593552,74.78051968733038
6,139.46684153851385,-22.336563836907075,139.466825021253,-22.3365703841711,139.4668423022178,-22.336584727818025,3.7762789755305186,2.2360679378007964,1.0787226840397663,1.0759484056664277,280,1036.236241032322,72.96969481696789
7,139.47813342708665,-22.34017480513936,139.47797138206326,-22.340210113652446,139.47798056572452,-22.340212161151573,2.2111625566165474,1.7888543782949438,0.7402519249676206,0.7395833028576762,96,13750.859475736474,123.18762378723333
8,139.45945201341496,-22.360396839124434,139.45938933065926,-22.360377511226044,139.4594163814927,-22.36037954214145,2.6510907730475957,1.7088007153966278,0.8075313233698274,0.8024602492059016,138,2186.3882915893882,81.94207251499314
9,139.4559100955381,-22.33778545175978,139.45582380717244,-22.33774500805866,139.45585169974663,-22.337739615958693,2.8367012395961315,2.0591259910301485,0.9076936417366448,0.9027206516476354,158,4493.337750691246,76.2417992707411
10,139.4875053364082,-22.356229647382264,139.4874796598535,-22.356088737651127,139.4874922184199,-22.356149885290755,3.9218278519589265,2.7202940605052404,1.1891038118781643,1.1678020775147588,302,1408.4455555075485,44.08138978329131
11,139.4693639204191,-22.366563872144372,139.46930803690816,-22.366525973417236,139.46931608881044,-22.366546274210744,3.6248906330628623,2.15406588088155,1.04851226497154,1.045618619375455,258,1805.129897133399,52.649898223446556
12,139.47615267251652,-22.37300821901431,139.4761425737335,-22.372967603136935,139.4761434938709,-22.372966685782806,3.4815571898044055,1.8973665687875643,0.950663407948587,0.9506527368015038,238,869.99291431704,41.15593054122512
13,139.47002483816388,-22.335063876061614,139.4700602963475,-22.335001292495193,139.47004083976748,-22.33501464984944,2.9076297180076907,1.7888543857872072,0.8239854257977681,0.8200256561908097,166,1241.8472400234045,61.51869676395883
14,139.4575896497688,-22.36167448067494,139.4576497275187,-22.361622761274713,139.45763067298887,-22.361627208061176,2.104964041421698,1.3999999637601266,0.6841554908749172,0.6810198921050992,87,6235.163285136081,82.43640446756709
15,139.47741267901975,-22.340508170927194,139.4773955514482,-22.340426056665972,139.47741652772274,-22.340405055117866,3.407630356711932,2.720294060503862,1.223102612401063,1.2187638198531174,228,3155.907234357424,81.184563928983
16,139.45993304506126,-22.354396870930916,139.45964350494484,-22.354293802604968,139.4597265489896,-22.354319614483554,4.0180439802523145,3.4234485358386593,1.3231417280957927,1.2905896782136237,317,1737.499072325704,54.91200985193221
17,139.45885115041938,-22.362063464132707,139.4586259268944,-22.362098692894296,139.45864860254844,-22.362091427797594,3.769529588588531,3.1304951647788224,1.3055204233871998,1.3030733927470664,279,3748.6111167149884,79.01634428495916
18,139.46702151713674,-22.3450638402506,139.46701359887163,-22.345170644570672,139.46703503247608,-22.345147527709408,3.6248906330628623,2.86356423622135,1.117109887382499,1.1117173959193891,258,1735.8649594642618,47.450124066802005
19,139.4686433304132,-22.342286088427088,139.46860704295,-22.342164946065747,139.4686074109787,-22.342187682592694,2.7081100010292305,2.340939940339755,0.9813864166707671,0.9779663229968469,144,2923.5542117037053,67.94733765405181
20,139.48486332139137,-22.36678545807295,139.48483881247796,-22.36677937954673,139.48485102215326,-22.366786457733127,3.199507140118726,2.088061330134621,0.9301646967547834,0.9289266924384022,201,603.0585948833042,47.82388463650171
21,139.48498370975724,-22.369063224958303,139.48495806717762,-22.368966560600388,139.4849739737004,-22.368985655173383,2.763953195770684,1.8439088507535084,0.8352508848088525,0.8307313675378492,150,1706.7300401465404,59.88031881139334
